date,records,attention_proxy,mean_sentiment,positive_share,negative_share,neutral_share,sentiment_change,attention_spike
2026-07-15,19,19,-0.05263157894736842,0.0,0.05263157894736842,0.9473684210526315,0.018796992481203006,True
2026-07-14,14,14,-0.07142857142857142,0.0,0.07142857142857142,0.9285714285714286,,True
2026-07-17,4,4,0.0,0.25,0.25,0.5,0.5,False
2026-07-16,2,2,-0.5,0.0,0.5,0.5,-0.4473684210526316,False
2026-07-21,2,2,-1.0,0.0,1.0,0.0,-1.0,False
2026-08-31,2,2,0.0,0.0,0.0,1.0,0.0,False
2026-07-20,1,1,0.0,0.0,0.0,1.0,0.0,False
2026-07-31,1,1,-1.0,0.0,1.0,0.0,0.0,False
2026-08-04,1,1,-1.0,0.0,1.0,0.0,0.0,False
2026-08-26,1,1,0.0,0.0,0.0,1.0,1.0,False
